run_type,sweep_type,sweep_value,tag,pass,total_tput,rled_tput,int_tput,delay_avg,delay_rled,delay_int,pdr_total,pdr_rled,pdr_int,drop_total,drop_rled,drop_int,jitter_avg,jitter_rled,jitter_int,energy_total,energy_per_node,yielding,fairness,rled_mean,rled_std,int_mean,int_std
sweep,pps,100,pass_base_pps_100,base,5.2512,2.2636,2.9876,426.49,405.24,442.7,96.9246,96.9444,96.9095,3.0754,3.0556,3.0905,9.27,10.45,8.36,3105.0952,51.7516,0.7577,0.9156,0.35619611650485433,0.6425257043889002,0.33194137214137215,0.5702771655103185
sweep,pps,200,pass_base_pps_200,base,5.1946,2.4635,2.7311,434.62,414.45,452.86,96.3061,96.5766,96.0629,3.6939,3.4234,3.9371,8.57,9.82,7.45,3104.3178,51.7386,0.902,0.9121,0.3580591182364729,0.6449259220887217,0.3307361290322581,0.5686903114618773
sweep,pps,300,pass_base_pps_300,base,5.2373,2.7256,2.5117,428.7,414.54,444.11,96.6451,96.5019,96.8013,3.3549,3.4981,3.1987,9.91,10.58,9.18,3105.7698,51.7628,1.0852,0.9529,0.35908343685300204,0.64569009646892,0.3305425389755011,0.568814803366584
sweep,pps,400,pass_base_pps_400,base,5.231,2.799,2.432,429.43,418.59,441.9,96.7822,96.7982,96.7638,3.2178,3.2018,3.2362,8.4,8.96,7.75,3105.1684,51.7528,1.1509,0.9157,0.3594473233404711,0.646083105055724,0.3302947004608294,0.5690769531552545
sweep,pps,500,pass_base_pps_500,base,5.2059,2.8162,2.3897,436.24,423.94,450.74,96.8639,96.7647,96.9812,3.1361,3.2353,3.0188,8.26,8.77,7.65,3104.4159,51.7403,1.1784,0.853,0.3588464601769911,0.6458201358969443,0.33033150357995233,0.5696105227672172
sweep,speed,5.0,pass_base_speed_5,base,5.2711,3.1926,2.0785,414.19,407.94,423.79,97.131,97.0956,97.1856,2.869,2.9044,2.8144,8.77,8.91,8.56,3106.0449,51.7674,1.536,0.8234,0.35811857798165136,0.6425291592989022,0.3312707920792079,0.5726154604383608
sweep,speed,10.0,pass_base_speed_10,base,5.2442,2.7973,2.4469,429.56,413.27,448.21,96.8535,96.657,97.0792,3.1465,3.343,2.9208,8.03,8.78,7.18,3105.0688,51.7511,1.1432,0.9198,0.3573519047619048,0.6431029447113206,0.332174293059126,0.5723107989534998
sweep,speed,15.0,pass_base_speed_15,base,5.2248,2.9306,2.2942,417.71,406.49,432.07,96.6852,96.7092,96.6546,3.3148,3.2908,3.3454,9.03,9.36,8.61,3105.0979,51.7516,1.2774,0.9376,0.3571980198019802,0.642240506442011,0.33339490616621986,0.5745120976527717
sweep,speed,20.0,pass_base_speed_20,base,5.2506,3.1658,2.0848,414.09,408.57,422.47,96.7261,96.815,96.5914,3.2739,3.185,3.4086,8.87,9.07,8.57,3105.8795,51.7647,1.5186,0.8505,0.3560796391752577,0.6388096647324145,0.33483603351955304,0.5781343822857408
sweep,speed,25.0,pass_base_speed_25,base,5.2098,2.6712,2.5386,424.84,413.36,436.94,96.6767,96.6026,96.7551,3.3233,3.3974,3.2449,8.89,9.48,8.28,3104.8929,51.7482,1.0523,0.8733,0.35554865591397844,0.6405560033378596,0.33668976608187134,0.5777728494300695
sweep,nodes,20,pass_modified_nodes_20,modified,5.2149,2.4968,2.718,440.85,432.39,448.63,96.6535,96.4467,96.8446,3.3465,3.5533,3.1554,8.01,8.43,7.63,1013.0362,50.6518,0.9186,0.9835,0.35688286516853934,0.6437623649635603,0.33671104294478527,0.5756651481212746
sweep,nodes,40,pass_modified_nodes_40,modified,5.2185,2.3487,2.8698,445.99,428.84,460.07,96.7558,96.8399,96.6868,3.2442,3.1601,3.3132,8.68,8.56,8.78,2059.1594,51.479,0.8184,0.8814,0.3555256484149856,0.6425743419279348,0.3325615141955836,0.5656351310554734
sweep,nodes,60,pass_modified_nodes_60,modified,5.245,3.1236,2.1215,395.96,384.49,412.87,96.922,97.1378,96.6054,3.078,2.8622,3.3946,9.22,9.39,8.98,3105.4259,51.7571,1.4724,0.8518,0.35606525679758305,0.6385984956464057,0.3333936877076412,0.570243101210727
sweep,nodes,80,pass_modified_nodes_80,modified,5.2333,2.8673,2.366,426.37,403.33,454.3,96.6405,96.781,96.4707,3.3595,3.219,3.5293,8.4,8.25,8.58,4151.1881,51.8899,1.2119,0.9097,0.3549504761904762,0.6383179266260303,0.33484125874125875,0.5708057410030596
